m1,mut3,cG,cuG_33,cqu1_1133,cuu_3333,cqq1_3333,cqd1_3311,cqu8_3311,cqu8_1133,cHBox,cHB,cHG,cuH_33,cHq1_33
0.50,1.50,1.04057e-05,-1.21267e-05,1.51408e-08,-6.16679e-06,-2.89414e-06,1.30242e-07,-6.86779e-05,-4.67528e-05,-4.11312e-04,3.27205e-05,1.08451e-04,-3.63846e-05,9.72650e-06
0.50,1.60,9.14568e-06,-1.08191e-05,1.46154e-08,-5.51545e-06,-2.54368e-06,1.14470e-07,-6.03615e-05,-4.09873e-05,-3.61504e-04,2.87583e-05,9.53183e-05,-3.21427e-05,8.68026e-06
0.50,1.70,8.10136e-06,-9.70799e-06,1.39310e-08,-4.96511e-06,-2.25322e-06,1.01399e-07,-5.34690e-05,-3.62288e-05,-3.20225e-04,2.54745e-05,8.44342e-05,-2.85957e-05,7.79080e-06
0.50,1.80,7.22621e-06,-8.75656e-06,1.31781e-08,-4.49520e-06,-2.00982e-06,9.04455e-08,-4.76930e-05,-3.22554e-05,-2.85633e-04,2.27226e-05,7.53132e-05,-2.56006e-05,7.02879e-06
0.50,1.90,6.48558e-06,-7.93603e-06,1.24095e-08,-4.09029e-06,-1.80383e-06,8.11755e-08,-4.28048e-05,-2.89031e-05,-2.56358e-04,2.03937e-05,6.75941e-05,-2.30492e-05,6.37135e-06
0.50,2.00,5.85323e-06,-7.22378e-06,1.16555e-08,-3.73860e-06,-1.62795e-06,7.32609e-08,-3.86313e-05,-2.60488e-05,-2.31363e-04,1.84053e-05,6.10037e-05,-2.08587e-05,5.80047e-06
0.50,2.10,5.30906e-06,-6.60181e-06,1.09331e-08,-3.43099e-06,-1.47660e-06,6.64498e-08,-3.50398e-05,-2.35983e-05,-2.09853e-04,1.66942e-05,5.53322e-05,-1.89643e-05,5.30180e-06
0.50,2.20,4.83738e-06,-6.05566e-06,1.02507e-08,-3.16022e-06,-1.34542e-06,6.05462e-08,-3.19267e-05,-2.14788e-05,-1.91209e-04,1.52110e-05,5.04163e-05,-1.73153e-05,4.86381e-06
0.50,2.30,4.42589e-06,-5.57365e-06,9.61207e-09,-2.92055e-06,-1.23097e-06,5.53958e-08,-2.92108e-05,-1.96331e-05,-1.74944e-04,1.39171e-05,4.61276e-05,-1.58713e-05,4.47716e-06
0.50,2.40,4.06475e-06,-5.14622e-06,9.01778e-09,-2.70731e-06,-1.13052e-06,5.08756e-08,-2.68273e-05,-1.80160e-05,-1.60669e-04,1.27815e-05,4.23637e-05,-1.45997e-05,4.13423e-06
0.50,2.50,3.74607e-06,-4.76552e-06,8.46677e-09,-2.51670e-06,-1.04189e-06,4.68870e-08,-2.47241e-05,-1.65911e-05,-1.48072e-04,1.17794e-05,3.90424e-05,-1.34744e-05,3.82873e-06
