muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
1.31,8.61,3.64,6.98,2.9e-06,-5.2e-06,-1.3e-04,-2.1e-05,-1.1e-04,5.7e-06,1.8e-06,-5.1e-07,2.2e-05,-5.8e-05,-1.2e-06,-2.1e-05,1.5e-06,7.3e-07,-1.1e-06,-7.7e-06,-1.9e-05,-2.4e-07,5.8e-06,1.1e-07,-5.0e-06,-1.1e-07,-9.2e-06,-3.6e-06,-1.4e-05,-2.7e-06,1.8e-05,1.5e-05,3.6e-06,6.3e-06,-9.9e-07,-1.1e-05,6.5e-09,2.0e-10
1.17,7.34,4.76,1.19,1.8e-05,-6.5e-06,-8.9e-05,-2.8e-05,-8.7e-05,3.7e-06,2.5e-06,-7.1e-07,2.1e-05,-4.2e-05,-8.6e-07,-1.6e-05,2.0e-06,5.5e-07,1.2e-06,-1.7e-05,-1.8e-05,-1.8e-07,4.7e-06,8.9e-08,-1.9e-06,-7.1e-08,-2.8e-05,-2.1e-05,-1.4e-05,-1.8e-05,1.9e-05,-8.9e-05,3.2e-06,-1.0e-04,-1.4e-06,-1.1e-04,5.9e-09,4.2e-10
1.05,8.93,4.14,5.35,2.8e-06,-8.2e-06,-1.0e-04,-2.2e-05,-1.1e-04,4.4e-06,1.7e-06,-4.8e-07,1.8e-05,-5.9e-05,-1.2e-06,-1.9e-05,2.4e-06,6.0e-07,-2.3e-06,-1.8e-05,-1.7e-05,-1.9e-07,5.4e-06,9.6e-08,-4.2e-06,-9.6e-08,-9.5e-06,-3.7e-06,-1.3e-05,-6.9e-06,1.5e-05,1.0e-05,4.3e-06,2.0e-06,-1.2e-07,-1.1e-05,3.3e-09,1.8e-10
0.64,2.44,7.23,2.18,1.3e-05,-2.0e-05,-2.2e-04,-2.2e-04,-2.0e-04,2.4e-06,2.3e-05,-6.4e-06,5.1e-05,-5.8e-05,-2.2e-07,1.4e-05,5.6e-06,2.6e-07,4.7e-05,-1.3e-04,-7.0e-05,-1.2e-07,2.9e-06,6.7e-08,1.2e-05,-5.0e-08,-7.6e-05,-1.5e-05,-9.4e-06,-4.4e-05,4.6e-05,3.4e-05,4.1e-06,-7.7e-05,-1.7e-05,1.2e-05,7.0e-09,5.0e-10
0.56,8.15,4.12,3.75,3.7e-06,-2.9e-05,-1.3e-04,-4.3e-05,-2.3e-04,4.4e-06,2.0e-06,-5.7e-07,1.9e-05,-1.3e-04,-2.3e-06,-3.0e-05,8.3e-06,6.4e-07,-7.8e-06,-8.8e-05,-1.9e-05,-2.0e-07,6.5e-06,1.1e-07,-4.5e-06,-1.0e-07,-1.7e-05,-6.7e-06,-1.7e-05,-3.8e-05,1.2e-05,6.6e-06,8.6e-06,-3.6e-06,5.9e-06,-1.6e-05,1.2e-09,1.4e-10
1.12,2.63,5.96,8.08,7.8e-06,-5.4e-06,-2.0e-04,-1.8e-04,-1.1e-04,2.8e-06,1.9e-05,-5.5e-06,4.5e-05,-1.8e-05,1.4e-07,6.0e-06,1.7e-06,3.2e-07,3.6e-05,-5.9e-05,-5.5e-05,-1.7e-07,2.9e-06,1.0e-07,5.8e-06,-8.1e-08,-5.1e-05,-8.3e-06,-8.9e-06,-1.4e-05,4.6e-05,5.2e-05,2.6e-06,-3.9e-05,-1.1e-05,3.1e-05,1.9e-08,5.5e-10
0.68,4.44,5.73,9.53,3.3e-06,-1.9e-05,-1.2e-04,-7.7e-05,-1.6e-04,2.5e-06,6.8e-06,-1.9e-06,2.1e-05,-7.7e-05,-1.1e-06,-5.9e-06,5.3e-06,3.3e-07,9.2e-06,-7.7e-05,-2.7e-05,-1.2e-07,3.4e-06,7.0e-08,1.7e-06,-6.5e-08,-2.6e-05,-5.1e-06,-9.6e-06,-2.9e-05,3.2e-05,2.3e-05,5.1e-06,-1.1e-05,-4.1e-06,8.6e-06,3.7e-09,1.7e-10
1.18,6.30,7.55,5.08,2.5e-06,-6.3e-06,-5.8e-05,-3.5e-05,-6.3e-05,1.4e-06,3.4e-06,-9.6e-07,1.1e-05,-2.8e-05,-4.3e-07,-3.1e-06,1.8e-06,2.0e-07,5.0e-06,-2.6e-05,-1.4e-05,-7.2e-08,2.0e-06,4.2e-08,5.6e-07,-3.7e-08,-1.3e-05,-3.2e-06,-5.2e-06,-9.2e-06,1.7e-05,7.1e-06,2.1e-06,-9.7e-06,-2.5e-06,-1.3e-06,3.3e-09,2.0e-10
0.78,1.30,7.30,2.01,3.4e-05,-7.2e-06,-6.6e-04,-7.1e-04,-2.7e-04,4.5e-06,8.0e-05,-2.3e-05,1.6e-04,3.7e-05,3.3e-06,3.8e-05,3.3e-06,2.8e-07,1.4e-04,-2.0e-04,-1.8e-04,-2.1e-07,3.3e-06,1.0e-07,2.5e-05,-7.6e-08,-1.7e-04,-3.5e-05,-1.5e-05,-5.2e-05,6.3e-05,1.4e-04,3.0e-06,-2.1e-04,-3.2e-05,9.7e-05,2.5e-08,1.3e-09
1.19,5.73,3.45,6.08,4.0e-06,-6.1e-06,-1.6e-04,-4.2e-05,-1.3e-04,6.4e-06,4.1e-06,-1.2e-06,2.9e-05,-6.3e-05,-1.3e-06,-2.1e-05,1.8e-06,8.3e-07,3.4e-06,-1.5e-05,-2.8e-05,-2.9e-07,6.6e-06,1.4e-07,-4.4e-06,-1.4e-07,-1.7e-05,-4.8e-06,-1.6e-05,-4.2e-06,3.3e-05,2.2e-05,4.1e-06,1.9e-06,-3.1e-06,-8.3e-06,1.6e-08,2.9e-10
